Designator,Mid X,Mid Y,Rotation,Layer
C1,48.467322,-40.437322,180.0,bottom
C10,39.367322,-36.227322,0.0,bottom
C2,48.467322,-38.967322,180.0,bottom
C3,44.257322,-42.977322,90.0,bottom
C5,46.287322,-42.977322,90.0,bottom
C6,42.847322,-41.267322,270.0,bottom
C8,37.977322,-43.367322,270.0,top
D1,42.367322,-38.897322,0.0,bottom
D2,36.977322,-41.237322,270.0,bottom
D3,42.347322,-36.437322,180.0,bottom
D4,45.247322,-37.267322,180.0,bottom
D8,45.117322,-40.342322,0.0,bottom
IC1,38.817322,-38.567322,90.0,top
IC2,48.437322,-42.567322,0.0,bottom
IC3,38.827322,-37.997322,180.0,bottom
IC4,48.647322,-36.657322,0.0,bottom
J1,46.677322,-39.167322,180.0,top
J2,40.867322,-36.427322,180.0,bottom
Q1,40.847322,-43.287322,180.0,bottom
Q2,37.837322,-43.287322,0.0,bottom
Q3,37.467322,-34.877322,90.0,top
Q4,39.867322,-34.877322,90.0,top
Q5,38.667322,-34.877322,90.0,top
Q6,36.267322,-34.877322,90.0,top
R1,41.887322,-39.387322,90.0,top
R10,41.887322,-41.257322,90.0,bottom
R11,36.027322,-41.227322,270.0,bottom
R12,42.837322,-43.107322,270.0,bottom
R13,40.487322,-39.847322,180.0,bottom
R14,42.377322,-39.857322,180.0,bottom
R15,39.047322,-42.277322,270.0,top
R16,39.047322,-41.257322,270.0,bottom
R17,39.997322,-42.277322,270.0,top
R18,39.997322,-41.257322,270.0,bottom
R19,41.967322,-34.797322,180.0,top
R2,36.547322,-41.757322,0.0,top
R20,36.607322,-36.157322,0.0,bottom
R21,48.507322,-34.717322,0.0,bottom
R22,44.747322,-34.727322,0.0,bottom
R23,44.847322,-35.977322,180.0,bottom
R24,42.287322,-34.797322,0.0,bottom
R3,42.357322,-37.717322,0.0,top
R4,36.537322,-43.807322,0.0,top
R5,40.467322,-43.697322,180.0,top
R6,36.537322,-42.727322,180.0,top
R7,40.937322,-42.277322,90.0,top
R8,41.887322,-42.277322,90.0,top
R9,40.937322,-41.257322,90.0,bottom
